sequenceID	Genotype	Subgenotype	Country	Year
HM045813	Asian	Asian	India	1963
EF027141	Asian	Asian	India	1973
EF027140	Asian	Asian	India	1963
FN295483	Asian	Asian	Malaysia	2006
FJ807897	Asian	Asian	Taiwan	2007
HM045790	Asian	Asian	Phil	1985
FJ445426	ECSA	ECSA-IN	SriLanka	2008
FJ513675	ECSA	ECSA-IN	Srilanka	2008
EF027134	ECSA	ECSA-IN	India	2006
FJ445510	ECSA	ECSA-IN	Sing	2008
GQ428211	ECSA	ECSA-IN	India	2006
FJ445427	ECSA	ECSA-IN	SriLanka	2007
AB455494	ECSA	ECSA-IN	Japan	2006
GU301781	ECSA	ECSA-IN	Thailand	2009
FJ445430	ECSA	ECSA-IN	Sing	2008
FJ445443	ECSA	ECSA-IN	Sing	2008
GU199352	ECSA	ECSA-IN	China	2008
GU199353	ECSA	ECSA-IN	China	2008
FN295485	ECSA	ECSA-IN	Malaysia	2008
FN295487	ECSA	ECSA-IN	Malaysia	2008
FJ807899	ECSA	ECSA-IN	Taiwan	2008
GU301780	ECSA	ECSA-IN	Thailand	2008
EU244823	ECSA	ECSA-IN	Italy	2007
EF027138	ECSA	ECSA-IN	India	2006
FJ807896	ECSA	ECSA-IN	Taiwan	2006
FJ807898	ECSA	ECSA-IN	Taiwan	2008
GQ428215	ECSA	ECSA-IN	India	2008
AM258993	ECSA	ECSA-IOC	Reunion	2005
DQ443544	ECSA	ECSA-IOC	Reunion	2006
EU564334	ECSA	ECSA-IOC	Mauri	2006
EF012359	ECSA	ECSA-IOC	Mauri	2006
AM258992	ECSA	ECSA-IOC	Reunion	2005
AM258991	ECSA	ECSA-IOC	Seyche	2005
HM045784	ECSA	ECSA	Central	NULL
HM045822	ECSA	ECSA	Central	NULL
HM045792	ECSA	ECSA	South	NULL
HM045811	ECSA	ECSA	Tanzania	1953
HM045821	ECSA	ECSA	Senegal	1963
HM045785	WestAfr	WestAfr	Senegal	1966
HM045816	WestAfr	WestAfr	Senegal	1966
HM045815	WestAfr	WestAfr	Senegal	1979
HM045818	WestAfr	WestAfr	Ivory	NULL
HM045820	WestAfr	WestAfr	Ivory	NULL
HM045817	WestAfr	WestAfr	Senegal	2005
HM045786	WestAfr	WestAfr	Nigeria	1964
HM045819	WestAfr	WestAfr	Senegal	1993
