sequence.sequenceID	sequence.genotype
FJ445426	ECSA
HM045785	WestAfr
HM045813	Asian
EF027140	Asian
EF027141	Asian
FJ807897	Asian
FN295483	Asian
HM045790	Asian
HM045813	Asian
AB455494	ECSA
AM258991	ECSA
AM258992	ECSA
AM258993	ECSA
DQ443544	ECSA
EF012359	ECSA
EF027134	ECSA
EF027138	ECSA
EU244823	ECSA
EU564334	ECSA
FJ445426	ECSA
FJ445427	ECSA
FJ445430	ECSA
FJ445443	ECSA
FJ445510	ECSA
FJ513675	ECSA
FJ807896	ECSA
FJ807898	ECSA
FJ807899	ECSA
FN295485	ECSA
FN295487	ECSA
GQ428211	ECSA
GQ428215	ECSA
GU199352	ECSA
GU199353	ECSA
GU301780	ECSA
GU301781	ECSA
HM045784	ECSA
HM045792	ECSA
HM045811	ECSA
HM045821	ECSA
HM045822	ECSA
HM045785	WestAfr
HM045786	WestAfr
HM045815	WestAfr
HM045816	WestAfr
HM045817	WestAfr
HM045818	WestAfr
HM045819	WestAfr
HM045820	WestAfr
